Table 1
Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"🗞️ New edition of the Posit AI Newsletter is up on the Posit blog!

Curated by Posit’s Sara Altman and Simon P. Couch, this biweekly newsletter keeps you up to speed with what’s happening in the AI world, both at Posit and beyond.

It’s opinionated, concise, and designed to keep you in the loop without overwhelming you.

✨ This week, we cover:

Claude Haiku 4.5
GitHub Copilot support in Positron Assistant
AI water and energy use
…and more!

📬 Read the newsletter: https://lnkd.in/gxrPE8ma",https://www.linkedin.com/feed/update/urn:li:activity:7387489077346037760,Organic,,Isabella Velásquez,10/24/2025,,,All followers,7959,,,247,0.0310340486466885,72,1,3,,0.0405829884111881,
"Heading to the Databricks Data + AI World Tour in Amsterdam? Let's connect! 

Visit the Posit booth for a quick look at how Posit integrates with the Databricks Data Intelligence Platform. See how R and Python teams build, deploy, and share insights faster using the tools they love with the platform you trust.

Why Posit for Databricks?
 ✅ Accelerate development
 ✅ Build with AI
 ✅ Enterprise security

Join our customer session from 2:20 to 3:00 p.m. (local time) to hear how Suffolk Construction uses Databricks + Posit to turn powerful infrastructure into usable, reproducible data products at scale.

Learn more and book a meeting with a Posit expert while you’re there. https://lnkd.in/gX3TfWSG

#DatabricksWorldTour #DataAI #Amsterdam #Posit #Databricks",https://www.linkedin.com/feed/update/urn:li:activity:7387201156176994304,Organic,,Marissa Pierce,10/22/2025,,,All followers,2903,,,30,0.0103341368958354,26,1,0,,0.019634859636426,
"Announcing Quarto Wizard 1.0.0: A GUI for Seamless Quarto Extension Management

We are pleased to announce the release of Quarto Wizard 1.0.0, a new extension designed to streamline the discovery and management of the growing Quarto extension ecosystem in VS Code and Positron.

Created by Mickaël CANOUIL, the Wizard introduces an intuitive graphical interface (GUI) to find and handle extensions with a visual, click-based experience. 

The Quarto Wizard enhances access to Quarto's rich capabilities by allowing you to easily install, update, and remove extensions, as well as browse and initialize templates directly from within your IDE. It is powered by a comprehensive, curated directory of over 250 community-contributed extensions.

Learn more about Quarto Wizard and its capabilities: https://lnkd.in/gpGFgTj2",https://www.linkedin.com/feed/update/urn:li:activity:7387128999983968256,Organic,,Isabella Velásquez,10/23/2025,,,All followers,16116,,,624,0.0387192852795124,245,10,15,,0.0554728209972382,
"🌟 We're excited to announce that Posit has been recognized as a ""One to Watch"" for AI/ML Development & Deployment in Snowflake's 2026 Modern Marketing Data Stack Report. 

This is a significant milestone for our partnership, which empowers data scientists and analysts to build and deploy AI/ML solutions directly within the secure and governed Snowflake AI Data Cloud, enabling powerful insights and faster, smarter data-driven decisions.

What this means for data team:: 
✔️ Faster time-to-value for data projects 
✔️ Enhanced data security and governance 
✔️ More collaborative and efficient data science workflow

We are proud to be a part of Snowflake's ecosystem and look forward to continuing to help our shared customers become true agents of change in an AI-driven world.

Read the full report here: https://lnkd.in/e9xi6fSv 

#Snowflake #DataScience #MachineLearning #AI #Partnership ",https://www.linkedin.com/feed/update/urn:li:activity:7386846315709669376,Organic,,Marissa Pierce,10/22/2025,,,All followers,3655,,,46,0.0125854993239045,53,1,7,,0.0292749665677547,
"Announcing the Data Explorer “Convert to Code” Feature on Positron!

Positron now has a new “Convert to Code” button designed to improve the reproducibility of your initial data analysis. It generates code that reflects the filters and sorts that you have applied in the Data Explorer interface so that you can reproduce your work and revisit your steps.

Paste the code into your Console, script, or notebook to continue your data exploration. No need to rewrite your exploration logic in code!

This feature supports code generation for pandas and polars Python dataframes, R, and on-disk data.

Transition quickly from visual exploration to scripting today!  Learn more: https://lnkd.in/eZzTWCj7

Watch Julia Silge explore data and convert it to code in this video: https://lnkd.in/ekBZkvJQ ",https://www.linkedin.com/feed/update/urn:li:activity:7386774019359940609,Organic,,Isabel Hosley,10/22/2025,,,All followers,27687,10332,,1734,0.0626286715269089,425,9,42,,0.0798208564519882,Video
"The next generation of data science is here. AI is no longer a buzzword—it's a business necessity. But to truly unlock its value, you need to transform your data science workflows.

Download the new Playbook to learn how AI-infused data science platforms can help you:
✅ Overcome skill gaps
✅ Accelerate productivity
✅ Minimize risk

Download now to learn how to advance your data science with AI. ➡ https://lnkd.in/gWvhZ5EC 

#DataScience #AI #TDWI #Posit #Databricks ",https://www.linkedin.com/feed/update/urn:li:activity:7386489671675158528,Organic,,Marissa Pierce,10/21/2025,,,All followers,5369,,,145,0.0270068906247616,31,0,1,,0.032967034727335,
"We were joined by insurance leaders from Milliman, The Hartford, and Plymouth Rock Assurance to discuss the evolution of data science in our latest webinar 🎬 

Attendee Debbie Dukeshire from Standard Publishing Corporation eloquently summarized the discussion while adding a fresh perspective, focusing on the scale in which Actuaries are currently working with data and the importance of documentation. 

""If someone thinks they have a great data scientist but that person is not willing to document their work, they’re not a great data scientist,” said panelist Jamie Warner.

Read the reprint: https://lnkd.in/ehrDfcft",https://www.linkedin.com/feed/update/urn:li:activity:7386400673220837376,Organic,,Isabel Hosley,10/21/2025,,,All followers,3610,,,45,0.0124653736129403,13,1,5,,0.0177285317331553,
"Announcing Plotnine 0.15.0: Introducing Native Plot Composition for Python Visualizations!

We are pleased to (belatedly) announce the release of Plotnine 0.15.0, a significant update to the popular Python package that implements the Grammar of Graphics for creating professional and informative statistical visualizations.

Plotnine is designed to empower Python data scientists and analysts who value the expressive, layer-based approach to graphing (akin to R’s ggplot2). This new release introduces native plot composition, where users can now combine multiple, independent plots into a single, cohesive graphic, overcoming previous limitations.

Create sophisticated, multi-layered visualizations directly within the Python environment today!

Learn more about Plotnine 0.15.0 and its capabilities: https://lnkd.in/g6me_Xt7",https://www.linkedin.com/feed/update/urn:li:activity:7386046416802078720,Organic,,Isabella Velásquez,10/20/2025,,,All followers,20133,,,477,0.0236924458295107,234,4,10,,0.036010529845953,
"🚀 Don't miss next week's webinar featuring Posit, Regeneron, and Atorus.

We're demonstrating a unified workflow approach that simplifies and speeds up the development of Shiny applications for clinical data monitoring in a regulated GxP environment.

🚀 Key Takeaways: 
You'll see a live demo of a config-driven Shiny Application that lets anyone on your team build complex data applications in minutes - standardizing your delivery and reducing development costs.

Understand the operational strategy to scale R and Shiny across your clinical workflows

Date: October 21st at 12 PM ET

➡ Register here: https://lnkd.in/gdSMAYUU 

#PharmaTech #HealthcareAnalytics #Biotech #GxPCompliance #DataMonitoring",https://www.linkedin.com/feed/update/urn:li:activity:7384732388188340224,Organic,,Marissa Pierce,10/16/2025,,,All followers,2259,,,31,0.0137228863313794,16,0,2,,0.0216910131275654,
"📆 Join us for the 2nd event in our Positron series focused on AI-Powered Data Science on October 29, 2025!

Here at Posit, we strive to create products where AI works with you, not against you. In efforts to continue this mission, we are excited to introduce agentic AI capabilities in Positron, our new, free code editor for R and Python, that are designed from the ground up to follow these principles. Positron’s AI capabilities automate the tedious parts of the data science workflow, but always keep you, the expert, in control.

Register here: https://lnkd.in/dSz8Tk_4",https://www.linkedin.com/feed/update/urn:li:activity:7384671936443990017,Organic,,Isabel Hosley,10/16/2025,,,All followers,4550,,,95,0.0208791214972734,41,0,5,,0.0309890117496252,
"We are pleased to share that Quarto 1.8 is available! 💡 

Quarto 1.8 addresses the increasing need for compliant, context-aware reporting that helps streamline auditing processes and ensures wider audience access to your data narratives.

• Integrated HTML checks, powered by the Axe-core engine, allow users to get a summary of accessibility violations right in the document preview.
• Quarto now sets the `QUARTO_EXECUTE_INFO` environment variable, enabling your code cells (in R, Python, or Julia) to access crucial information about the document's execution path, format, and metadata.
• You can now specify light and dark versions for brand colors and logos.
• And, share and reuse brand definitions and assets across multiple Quarto projects with Brand Extensions!

Learn more about Quarto 1.8 and its capabilities: https://lnkd.in/geqBkXat",https://www.linkedin.com/feed/update/urn:li:activity:7384589836890013697,Organic,,Isabella Velásquez,10/16/2025,,,All followers,22740,,,707,0.0310905892401934,384,3,21,,0.0490325428545475,
"The Positron Lounge truly came to life this year! We loved seeing so many of you jump in to get hands-on with Positron, exploring its features and letting your team help you set it up.

The best part? The chance to meet the creators. Your questions, feedback, and ideas were invaluable. We hope that you walked away with a clear vision of what makes Positron so helpful to your data science workflow!

The conference may be over, but your journey with Positron is just beginning. It’s waiting for you, download today.

And finally, mark your calendars now: next year’s posit::conf is happening September 14-16 in Houston! 📆

Read more about what happened at the Positron Lounge: https://lnkd.in/gVPsCxYp ",https://www.linkedin.com/feed/update/urn:li:activity:7384211283912581120,Organic,,Isabel Hosley,10/15/2025,,,All followers,3043,,,51,0.0167597774416208,28,0,0,,0.02596122212708,
"🚀Your guide to governed, AI-driven data science!

Delivering powerful analytics and cutting-edge AI at scale while maintaining productivity and governance is not easy.

Our new eBook, Maximize Your Databricks Investment with Posit, shows how organizations can:
 ✅ Accelerate time-to-insight
 ✅ Unify R and Python environments
 ✅ Embed governance into every stage of the workflow

By using Posit tools alongside Databricks, data science teams can focus on building AI-driven solutions instead of battling infrastructure.

👉 Get the guide: https://lnkd.in/ghcd9H8W

#DataScience #AI #MachineLearning #Databricks #Posit",https://www.linkedin.com/feed/update/urn:li:activity:7383955861821382656,Organic,,Marissa Pierce,10/14/2025,,,All followers,4049,,,67,0.0165472961962223,37,0,5,,0.0269202273339033,
"Data science teams rely on open-source tools but face silos, security risks, and long approval cycles. We partnered with BARC to write a spotlight report that shows how organizations are combining open-source flexibility with enterprise-grade governance.

You’ll learn how to:
✔️ Speed up model development and deployment
✔️ Standardize workflows to reduce risk and cost
✔️ Embed compliance without slowing teams

Read the report: https://lnkd.in/esuHBuhA",https://www.linkedin.com/feed/update/urn:li:activity:7383856920656359425,Organic,,Isabel Hosley,10/14/2025,,,All followers,3902,,,94,0.0240902099758387,25,0,4,,0.0315222963690758,
"Still smiling after an incredible Snowflake World Tour London 🇬🇧✨

Nothing beats connecting in person with mutual customers, partners, and the broader Snowflake community. It was exciting to share the latest—and what’s next—in how we’re helping data science teams accelerate productivity and time-to-value, all while maintaining governance, with the Posit Native App for Snowflake.

Thanks to everyone who stopped by our booth! ❄️❤️

👉 Learn more about the Posit + Snowflake partnership: https://lnkd.in/gqCy3NGH

👉 Get the Posit Native App for Snowflake: https://lnkd.in/gZ2ZcsAe

#SnowflakeWorldTour",https://www.linkedin.com/feed/update/urn:li:activity:7382466963144556544,Organic,,Tricia Olson,10/10/2025,,,All followers,3287,,,303,0.0921813175082207,47,1,3,,0.107696987688541,
"🚀 The fourth edition of the Posit AI Newsletter is out now!

Curated by Posit’s Sara Altman and Simon P. Couch, this biweekly newsletter keeps you up to speed with what’s happening in the AI world, both at Posit and beyond.

It’s opinionated, concise, and designed to keep you in the loop without overwhelming you.

✨ This week, we cover:

• Claude Sonnet 4.5 
• Recent investments to and from OpenAI
• Situational awareness

…and more!

📬 Read the newsletter: https://lnkd.in/gchkTcy2",https://www.linkedin.com/feed/update/urn:li:activity:7382416451070189568,Organic,,Isabella Velásquez,10/10/2025,,,All followers,10291,,,489,0.0475172474980354,98,1,7,,0.0578175112605095,
"🚀 New eBook: The Enterprise Guide to Scaling AI-Powered Data Science with Posit + Snowflake

Data science teams shouldn’t have to choose between innovation and governance. With Snowflake + Posit, you get both open source flexibility and enterprise-grade security in a single platform.

Inside, you’ll discover how organizations are:
 ✅ Launching faster with Snowflake Marketplace
 ✅ Reducing IT overhead with managed infrastructure + software
 ✅ Streamlining workflows with governed data access
 ✅ Boosting productivity with AI-assisted coding

📖 Learn why Posit is essential in the Snowflake ecosystem.
 👉 https://lnkd.in/gaMeNjFC 

#AIDataScience #Snowflake #Posit #Analytics #EnterpriseData
",https://www.linkedin.com/feed/update/urn:li:activity:7382127717133119488,Organic,,Marissa Pierce,10/09/2025,,,All followers,2554,,,46,0.018010962754488,25,0,5,,0.0297572426497936,
"Announcing mall 0.2.0: Enhanced LLM Integration and Performance for Data-Driven NLP in R and Python!

We are pleased to (belatedly) announce the release of mall 0.2.0, a significant update to the tool designed to streamline Natural Language Processing (NLP) operations against your data using Large Language Models (LLMs).

This update is specifically for R and Python users, providing a unified and powerful interface for applying LLMs to tabular data workflows. The 0.2.0 release focuses on expanding the available LLM ecosystem and boosting processing efficiency.

The core benefit of this release is the enhanced flexibility in connecting to and leveraging state-of-the-art LLMs, overcoming previous limitations by integrating external provider support.

Key advantages of mall 0.2.0 include:

• New support for connecting to external providers such as OpenAI and Gemini, utilizing the ellmer package in R and chatlas in Python for robust integration.
• R users can now submit multiple prompts in parallel, which can make processing large tables significantly faster and potentially more cost-effective.
• The Python version now supports performing NLP operations directly on string vectors (lists), aligning functionality with the existing capability for R users and removing the requirement for a table object in all use cases.

Additionally, a brand new official cheatsheet is now available to help users quickly reference and utilize the mall package in both R and Python environments. 🎉

Learn more about mall 0.2.0 and its capabilities: https://lnkd.in/gbHKawwD",https://www.linkedin.com/feed/update/urn:li:activity:7382053553751822336,Organic,,Isabella Velásquez,10/09/2025,,,All followers,14161,,,542,0.0382741317152977,162,1,14,,0.0507732518017292,
"For statistical programmers and data science teams in pharma, you know the pain of needing speed while complying with strict GxP and regulatory requirements.

On October 21st at 12 PM ET, see a direct case study showing how Regeneron and Atorus collaborated to simplify this challenge using Posit & Open-Source Shiny. 

We're focused on the how & the strategic impact:
✅ See the technical underpinnings of a config-driven Shiny Application—where a simple file builds a fully functional data review tool.
✅ Discover how to integrate innovative R tooling to reduce friction with legacy systems and optimize your open-source technology stack.
✅ Understand the operational shifts required to scale and empower your internal teams to independently manage Shiny Applications while maintaining centralized governance.

Walk away with a clear roadmap to accelerate study insights and scale R & Shiny in a qualified environment.

Click to reserve your seat and learn the strategy: https://lnkd.in/g4XkKM7Y

#RStats #Shiny #RStudio #Regeneron #OpenSource
",https://www.linkedin.com/feed/update/urn:li:activity:7381765335659499521,Organic,,Marissa Pierce,10/08/2025,,,All followers,3322,,,34,0.0102347983047366,21,0,2,,0.0171583388000727,
"Announcing Positron Assistant, Positron’s AI client for data science workflows!

Positron Assistant is an AI client integrated within Positron, designed to enhance data science workflows.

Positron Assistant brings LLM integration for both chat and inline code completions.This tool is built to assist with a range of tasks, including generating and refactoring code, answering questions, providing debugging support, and offering insightful suggestions for next steps in your projects. It can interact with the Variables pane, Plots pane, and the Console in your IDE.

Capabilities include:

• Editor inline chat (chat with Positron Assistant in your script to augment your code)
• Contextual code completion (add instructional comments to your scripts to complete code)
• Agent-assisted workflows (allow Positron Assistant to execute tasks autonomously)

Learn more about Positron Assistant: https://lnkd.in/ekcCRdzw

📆 Sign up for our Workflow Demo on October 29, where we will demonstrate Positron Assistant: https://lnkd.in/e-B9Ym28",https://www.linkedin.com/feed/update/urn:li:activity:7381689547090333696,Organic,,Isabel Hosley,10/08/2025,,,All followers,16960,6427,,1253,0.0738797187805176,180,11,19,,0.0862617939710617,Video
"posit::conf(2025) Recap: Positron GA, The Future of AI Workflows, & More

What an incredible week at posit::conf(2025)! The energy and innovation from our global polyglot data science community were truly inspiring. We're excited to share the biggest news from the conference.

Learn more about these announcements, product capabilities, and customer success stories: https://lnkd.in/g-XdKTWu",https://www.linkedin.com/feed/update/urn:li:activity:7381330264414670848,Organic,,Isabella Velásquez,10/07/2025,,,All followers,3485,,,79,0.0226685795933008,29,0,3,,0.0318507887423038,
"Posit is proud to be an exhibitor at the American Conference on Pharmacometrics (ACoP 2025) in Aurora, CO! We’ll be at booth #19 from October 18-21. Pick up some stickers and cheatsheets, or stop by and say hi to our team onsite! See you there! ",https://www.linkedin.com/feed/update/urn:li:activity:7381005278164660226,Organic,,Isabella Velásquez,10/06/2025,,,All followers,1891,,,17,0.00898995250463486,25,0,0,,0.0222104713320732,
"Stop letting data complexity bloat your clinical review workflows.

Join Posit and our partners, Regeneron and Atorus, for a live, 60-minute webinar on October 21st at 12 PM ET.

We're revealing how this collaboration created a powerful, scalable workflow that allows even new open-source programmers to build custom, GxP-ready Shiny applications for clinical data monitoring in minutes.

You'll learn:
✅ How to build a Unified Analytical Environment to retire fragmented legacy tools.
✅ A live demo of a Config-Driven App that dramatically cuts development time and enforces compliance by design
✅ Operational strategies for empowering internal teams to manage their own apps securely in a regulated environment.

If you're focused on reproducibility, speed, and scaling R-based insights in clinical reporting, this is a must-attend session.

Register now to secure your spot: https://lnkd.in/ggX7hd7g 

#Pharma #LifeSciences #Posit #Shiny #GxP",https://www.linkedin.com/feed/update/urn:li:activity:7379584760811237377,Organic,,Marissa Pierce,10/02/2025,,,All followers,3822,,,41,0.0107273682951927,31,0,14,,0.0225013084709644,
"We're excited to announce that Posit has been recognized as a ""One to Watch"" for AI/ML Development & Deployment in Snowflake's 2026 Modern Marketing Data Stack Report! 🚀

This is a significant milestone for our partnership, which empowers data scientists to build and deploy AI/ML solutions directly within the secure and governed Snowflake AI Data Cloud using the Posit Native App for Snowflake. 

What this means for your data teams:
- Develop and Iterate with Speed: Accelerate prototyping and deployment.
- Govern Securely: Balance flexibility with centrally managed access.
- Drive Cost-Effectiveness: Maximize the value of your data science and Snowflake investments.

We are proud to be a part of the Snowflake ecosystem and look forward to continuing to help our shared customers become true agents of change in an AI-driven world.

Read the full announcement for details on how we fuel success in AI/ML development and deployment: https://lnkd.in/gFeTSVME 

#Snowflake #DataScience #AI #Posit #DataCloud",https://www.linkedin.com/feed/update/urn:li:activity:7379237498075451392,Organic,,Marissa Pierce,10/01/2025,,,All followers,5644,,,66,0.0116938343271613,70,1,13,,0.0265768952667713,
"Introducing the Quarto Workflow in Positron: A Video Tutorial and Guide! 🎬

We've released a new video tutorial and blog post by Charlotte Wickham that walks through creating and customizing your Quarto documents inside Positron, the modern IDE designed for data science.

Quarto is a powerful system that lets you combine executable code (Python, R, etc.) and narrative text to easily create professional-grade reports, presentations, and websites. No more copy-pasting code and results!

Here's why Positron is great for Quarto users:

• Positron comes with the Quarto command-line interface and extension pre-installed. You can start working immediately without complex setup steps.
• The IDE provides dedicated buttons and commands (like ""Quarto: Preview"" and ""Quarto: New Document"") that make rendering, inserting code cells, and checking your work quick and simple.
• Inside your Quarto code cells, you get the same support as any other code file, including code completion, linting (to catch simple errors), and direct integration with Positron's console and data viewers.

Watch the tutorial: https://lnkd.in/evYDVsRS 
Read the blog post: https://lnkd.in/eBn2weM3",https://www.linkedin.com/feed/update/urn:li:activity:7379161976566079488,Organic,,Isabel Hosley,10/01/2025,,,All followers,20103,,,1031,0.0512858778238297,282,2,19,,0.0663582533597946,
"Announcing ggplot2 4.0.0: A Significant Update to the R Visualization Framework

We are pleased to announce the release of ggplot2 4.0.0. This major update, which arrived on the package's 18th anniversary, includes substantial architectural shifts and a suite of features designed to improve the experience for R/Tidyverse data scientists and package developers alike.

This version focuses on making plot customization and labeling more intuitive, addressing the need for both simplified theming and a more robust foundation for extensibility.

Key features and benefits of ggplot2 4.0.0:

• Revamped theming system: Layer styling defaults are now controlled by themes using new ""ink"" and ""paper"" roles, leading to greater consistency. New helper functions like theme_sub_axis_x() are introduced to streamline verbose and often chaotic theme declarations.
• Smarter variable labeling: The package now uses the 'label' attribute from data column metadata (common in packages like gt and Hmisc) as the default label. You can also supply a labs(dictionary) for consistent, human-readable labels across plots.
• Architectural upgrade to S7: The core object system has been rewritten from S3 to S7. This provides a more robust structure, enforces stricter type checking, and enables powerful new capabilities for extension developers.

🎉 Join the ggplot2 4.0.0 Release Party!

Want to dive deeper into the changes and learn about the new architecture? Join Teun van den Brand and the ggplot2 extenders community for a virtual celebration and discussion.

• Oct 3 at 3:00 PM ET
•  Sign up: bit.ly/join-gg-extenders

Learn more about the full capabilities and changes in this release: https://lnkd.in/gFQGAkf5",https://www.linkedin.com/feed/update/urn:li:activity:7378812512332414977,Organic,,Isabella Velásquez,09/30/2025,,,All followers,49429,,,1620,0.032774280756712,994,9,62,,0.0543203391134739,
"How does an IDE help a data science team build the right products, not just write the code?

Dr. Claire Welsh lead data scientist and product owner at the NHS-R Community, has shared her hands-on experience with it. In a recent article, she highlights how Positron is not just for data scientists, but also for those in supporting roles who require a seamless, multi-faceted workflow.

Claire, who works as a product owner, uses Positron to bridge the gap between technical development and stakeholder needs:

• Positron's built-in GitHub interface allows for effortless management of pull requests and issues, a massive benefit for maintaining a focused workflow and curating product backlogs.
• The IDE's seamless support for Quarto simplifies the creation of plans, processes, and documentation.
• The dedicated testing sidebar makes it easy to run and manage tests, which is crucial for a product owner who needs to understand the user experience and functionality of an app.
• While it uses a different project management approach than RStudio, Positron's folder-based workflow and the Project Manager Extension provide a clean way to switch between and organize multiple projects.

This article provides a unique perspective on how modern data science IDEs can be used to support the entire project lifecycle, not just the code-writing phase. 

🔎 Check it out here! https://lnkd.in/eyXQgMEt",https://www.linkedin.com/feed/update/urn:li:activity:7378427626018852864,Organic,,Isabel Hosley,09/29/2025,,,All followers,5710,,,147,0.0257443077862263,53,0,9,,0.0366024523973465,
"🚀 Ready to elevate your data science capabilities?🚀 

The webinar on the powerful synergy between Posit and Snowflake is now available on-demand! 

Discover how to transform data into insights more efficiently and develop secure, AI-powered applications. You'll see real-world examples and learn how these cutting-edge tools can drive better business outcomes.

Watch the full webinar today! https://lnkd.in/gurHxK8G

#Snowflake #AI #Webinar #DataScience",https://www.linkedin.com/feed/update/urn:li:activity:7377431813323108352,Organic,,Marissa Pierce,09/26/2025,,,All followers,2097,,,33,0.0157367661595345,18,0,2,,0.0252742003649473,
"🚀 The third edition of the Posit AI Newsletter is out now!

Curated by Posit’s Sara Altman and Simon P. Couch, this biweekly newsletter keeps you up to speed with what’s happening in the AI world, both at Posit and beyond.

It’s opinionated, concise, and designed to keep you in the loop without overwhelming you.

✨ This week, we cover:

• The Claude degradation incident
• AI-related happenings from Posit conf (including a ggplot2 voice assistant)
• What we mean when we say “agents”

…and more!

📬 Read the newsletter: https://lnkd.in/g6W7qQ6e",https://www.linkedin.com/feed/update/urn:li:activity:7377377859524476929,Organic,,Isabella Velásquez,09/26/2025,,,All followers,17726,,,759,0.0428184606134892,152,1,9,,0.0519575774669647,
"📈 🔎 Dive into data exploration with Positron! Isabella Velásquez reveals how to utilize the data explorer and summary panel to analyze datasets effectively. 

Learn how to filter and visualize your data like never before!

📆 Don't forget to register for our next Positron Workflow Demo on October 29th at 11am ET - https://lnkd.in/dSz8Tk_4 ",https://www.linkedin.com/feed/update/urn:li:activity:7376993616197742592,Organic,,Isabel Hosley,09/25/2025,,,All followers,6212,2188,,469,0.0754990354180336,37,1,3,,0.082099162042141,Video
"To encourage you to submit to the 2025 Table Contest, we're showing off past entries! Check out Richard Bamattre's interactive board game table.

🎲 ""It's hard to sift through thousands of games..."" - Richard Bamattre

Richard solved a real parent problem: finding the perfect game for family game night from 5,000+ options on Board Game Geek. His interactive R reactable included smart filtering, visual graphics, and a searchable interface that turned an overwhelming database into a practical family tool.

🎮 View his entry: https://lnkd.in/giRdbmJQ

🚀 What everyday problem will YOUR table solve? Submit using Great Tables, gt, reactable, or any table-making package from Python or R.

📝 Entry details: https://lnkd.in/g93jcSgq",https://www.linkedin.com/feed/update/urn:li:activity:7376679456389869568,Organic,,Isabella Velásquez,09/24/2025,,,All followers,9751,,,466,0.0477899685502052,68,6,8,,0.0561993643641472,
"Get ready for the Diversity Alliance Hackathon!

Do you identify as underrepresented and would like to get involved in open source projects? 

🩺 The R/Pharma Diversity Alliance is running an R-based hackathon on September 30th. Join mentors from the community to learn about how to contribute to open source projects and tackle open issues in real projects!

Registration is free at https://lnkd.in/ec-Vv3yr",https://www.linkedin.com/feed/update/urn:li:activity:7376314447046316032,Organic,,Isabel Hosley,09/23/2025,,,All followers,3166,,,59,0.0186355020850897,28,0,9,,0.0303221736103296,
"Sharing a recent success story from a Posit Academy cohort focused on efficient, reproducible workflows in R 🎉

Posit Academy offers teams a flexible, hands-on training solution designed to overcome common challenges like “knowledge silos” and time-consuming manual processes. This case study from a state environmental agency showcases the transformative power of this approach.

Three months after completing the program, participants reported significant, lasting impacts:

• Substantial Time Savings: Learners are now saving 5 to 25 hours per week by automating repetitive tasks. One team’s new scripted process for an annual analysis will save them approximately four weeks of work every year.
• Enhanced Reproducibility: Teams successfully transitioned disorganized, manual workflows into streamlined, reliable R-based processes, making their analyses faster and more transparent.
• Empowered to Innovate: The training enabled team members to build entirely new solutions, such as a Shiny application to automate budget tracking—a task previously handled with a manual, static workflow.

This case study demonstrates that investing in a training model focused on practical application and mentorship can change how people work, empowering them to build more efficient, reproducible, and innovative solutions.

Read it here: https://lnkd.in/g8X6E8ua

Are you ready to empower your team with skills in R and Python? Contact us to discuss your organization's specific training needs.

#DataScience #RStats #Python #DataAnalysis #Posit #Training #CaseStudy #SuccessStory",https://www.linkedin.com/feed/update/urn:li:activity:7376261819381792768,Organic,,Isabella Velásquez,09/23/2025,,,All followers,4839,,,101,0.0208720806986094,31,0,1,,0.027485016733408,
"Heading to Snowflake World Tour London? Let’s meet!

Visit the Posit booth for a quick look at how Posit is integrated with Snowflake’s Native Apps. This means that the tools your data scientists love (RStudio, VS Code, Jupyter, Positron) run inside your Snowflake account, inheriting Snowflake security, roles, and governance.

Why Posit for Snowflake?
 ✅ Time-to-value
 ✅ Lower operational overhead
 ✅ Faster iteration
 ✅ AI-assisted development at enterprise scale

Stop by our booth or book a meeting with a Posit expert: https://lnkd.in/gz9-7U5X",https://www.linkedin.com/feed/update/urn:li:activity:7375976025190559744,Organic,,Marissa Pierce,09/22/2025,,,All followers,2110,,,24,0.0113744074478745,18,0,7,,0.0232227481901646,
"🚀 From LLM theory to a real, interactive app — in Shiny!

You've followed along as we broke down:

1️⃣ What LLMs actually do (and don't)
2️⃣ How to talk to them with good prompts & APIs

Now in Part 3 of The Shiny Side of LLMs, we bring it all together and build something real: DeckCheck — an app that acts like your Presentation Rehearsal Buddy. Upload a Quarto presentation, get instant, AI-powered feedback, and skip the long, unfocused slide decks.

💡 In this post, you'll learn how to:

	•	Structure a Shiny app (R or Python) with UI + reactive logic
	•	Connect user inputs to an LLM and display results
	•	Build a chat interface
	•	Keep apps responsive with async programming
	•	Add polish (loading spinners, value boxes, error messages)
	•	Deploy with 1 click to Posit Connect or shinyapps.io

👉 Whether you're on Team R or Team Python, Shiny makes it fast and fun to turn LLM workflows into apps people can actually use.

Read the full post here: https://lnkd.in/ggVbPvpn",https://www.linkedin.com/feed/update/urn:li:activity:7375888990886899712,Organic,,Isabella Velásquez,09/22/2025,,,All followers,24189,,,472,0.019513001665473,122,3,10,,0.0250940509140491,
"🎓 Talks. Keynotes. Connections. That's a wrap on posit::conf(2025)!

To everyone who attended, thank you for bringing your energy and enthusiasm. It was a joy to watch you all learn, share what you've built, and connect with your fellow data enthusiasts.

The highlights were endless, but here are just a few:

🧑",https://www.linkedin.com/feed/update/urn:li:activity:7374841873988972545,Organic,,Isabella Velásquez,09/19/2025,,,All followers,6629,,,1170,0.176497206091881,117,3,5,,0.195353746414185,
"🚀 AI is changing data science! Learn how to evolve your data science life cycle for greater scalability, efficiency, and accessibility.

Access this on-demand webinar to join TDWI's Fern Halper, Ph.D., and experts from Posit & Databricks as they explore:
- The power of open-source (R/Python)
- AI & automation at every stage
- Bridging skill gaps with AI-infused tools

Watch it now! Register to get instant access: https://lnkd.in/g37nemu4 

#DataScience #AI #Posit #Databricks",https://www.linkedin.com/feed/update/urn:li:activity:7374553634920988672,Organic,,Marissa Pierce,09/18/2025,,,All followers,3438,,,73,0.0212332755327225,22,2,3,,0.0290866792201996,
